flag_gems.ops.copy.copy_, [shape info]: [-, 112, 64, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 256, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 304, 256, 7168](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 256, 7168](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 256, 7168](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 24, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 272, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 320, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 336, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 432, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 256, 7168](batch, M, N, K), [count]: 230
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 256, 7168](batch, M, N, K), [count]: 230
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 256, 7168](batch, M, N, K), [count]: 230
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 40, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 208, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 256, 7168](batch, M, N, K), [count]: 227
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 256, 7168](batch, M, N, K), [count]: 227
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 256, 7168](batch, M, N, K), [count]: 226
flag_gems.ops.mm.general_mm, [shape info]: [-, 3, 16160, 7168](batch, M, N, K), [count]: 203
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 256, 7168](batch, M, N, K), [count]: 137
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 64, 7168](batch, M, N, K), [count]: 136
flag_gems.ops.mm.general_mm, [shape info]: [-, 1, 16160, 7168](batch, M, N, K), [count]: 90
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 64, 7168](batch, M, N, K), [count]: 61
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 256, 7168](batch, M, N, K), [count]: 58
flag_gems.ops.mm.general_mm, [shape info]: [-, 2, 16160, 7168](batch, M, N, K), [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 16160, 7168](batch, M, N, K), [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 1028, 64, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 256, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 256, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 64, 7168], [count]: 1
flag_gems.ops.zeros_like.zeros_like, [shape info]: [-, 16384, 256, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.zeros_like.zeros_like, [shape info]: [-, 2, 64, 7168](batch, M, N, K), [count]: 1
