flag_gems.ops.copy.copy_, [shape info]: [-, 112, 64, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 64, 7168](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 64, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 256, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 304, 256, 7168](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 256, 7168](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 256, 7168](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 24, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 272, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 320, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 336, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 432, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 256, 7168](batch, M, N, K), [count]: 231
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 256, 7168](batch, M, N, K), [count]: 230
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 256, 7168](batch, M, N, K), [count]: 230
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 256, 7168](batch, M, N, K), [count]: 230
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 40, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 256, 7168](batch, M, N, K), [count]: 229
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 208, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 256, 7168](batch, M, N, K), [count]: 228
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 256, 7168](batch, M, N, K), [count]: 227
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 256, 7168](batch, M, N, K), [count]: 227
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 256, 7168](batch, M, N, K), [count]: 226
flag_gems.ops.mm.general_mm, [shape info]: [-, 1028, 64, 7168](batch, M, N, K), [count]: 61
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 64, 7168](batch, M, N, K), [count]: 61
flag_gems.ops.mm.general_mm, [shape info]: [-, 3805, 64, 7168](batch, M, N, K), [count]: 61
flag_gems.ops.mm.general_mm, [shape info]: [-, 1028, 256, 7168](batch, M, N, K), [count]: 58
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 256, 7168](batch, M, N, K), [count]: 58
flag_gems.ops.mm.general_mm, [shape info]: [-, 3805, 256, 7168](batch, M, N, K), [count]: 58
flag_gems.ops.mm.general_mm, [shape info]: [-, 3076, 64, 7168](batch, M, N, K), [count]: 38
flag_gems.ops.mm.general_mm, [shape info]: [-, 3076, 256, 7168](batch, M, N, K), [count]: 34
flag_gems.ops.mm.general_mm, [shape info]: [-, 1, 16160, 7168](batch, M, N, K), [count]: 16
flag_gems.ops.mm.general_mm, [shape info]: [-, 99, 16160, 7168](batch, M, N, K), [count]: 16
flag_gems.ops.mm.general_mm, [shape info]: [-, 65, 16160, 7168](batch, M, N, K), [count]: 5
flag_gems.ops.mm.general_mm, [shape info]: [-, 33, 16160, 7168](batch, M, N, K), [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 35, 16160, 7168](batch, M, N, K), [count]: 4
flag_gems.ops.mm.general_mm, [shape info]: [-, 2, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 34, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 6, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 66, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 67, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 94, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 97, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 98, 16160, 7168](batch, M, N, K), [count]: 3
flag_gems.ops.mm.general_mm, [shape info]: [-, 2048, 16160, 7168](batch, M, N, K), [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 3, 16160, 7168](batch, M, N, K), [count]: 2
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 17, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 256, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 20, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 22, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 36, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 38, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 4, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 46, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 49, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 52, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 54, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 62, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 256, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 64, 7168], [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 68, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 78, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 81, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 84, 16160, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 64, 7168], [count]: 1
flag_gems.ops.zeros_like.zeros_like, [shape info]: [-, 16384, 256, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.zeros_like.zeros_like, [shape info]: [-, 2, 64, 7168](batch, M, N, K), [count]: 1
